customer_id,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction
55,19,Male,6,1,5,18,Standard,Quarterly,1969.23,42
56,37,Female,28,1,4,14,Premium,Annual,4450.56,19
57,45,Female,8,18,1,16,Standard,Monthly,174.99,1
58,64,Male,55,4,3,20,Standard,Quarterly,4744.55,38
59,24,Female,58,23,3,5,Basic,Annual,4504.61,25
60,61,Male,45,22,7,26,Basic,Annual,2147.46,16
61,25,Female,8,15,6,4,Basic,Monthly,3299.82,30
62,64,Male,19,27,4,20,Basic,Annual,4956.23,30
63,52,Female,38,25,8,27,Premium,Monthly,2819.25,10
64,31,Male,29,23,0,25,Premium,Quarterly,574.8,40
65,34,Female,23,28,3,12,Premium,Annual,4282.84,52
66,53,Female,47,21,4,29,Basic,Quarterly,757.34,24
67,67,Female,32,22,7,26,Standard,Monthly,1360.63,59
68,57,Female,10,10,2,13,Premium,Monthly,4380.23,21
69,21,Female,27,25,4,28,Basic,Monthly,1354.54,51
70,19,Female,49,17,2,23,Basic,Annual,3750.92,52
71,23,Female,1,27,6,13,Basic,Annual,2293.6,39
72,59,Male,39,25,9,29,Premium,Annual,3822.77,15
73,21,Male,29,22,2,14,Standard,Quarterly,1238.53,5
74,46,Female,59,12,6,15,Premium,Quarterly,2155.87,36
75,35,Female,45,20,1,9,Basic,Annual,1658.99,51
76,43,Male,3,12,6,0,Basic,Quarterly,1320.32,51
77,61,Male,51,16,8,23,Basic,Monthly,1640.71,42
78,51,Female,47,5,4,28,Premium,Annual,1682.66,22
79,27,Male,37,29,5,10,Standard,Monthly,4781.35,8
80,53,Male,31,16,9,6,Premium,Monthly,2712.83,31
81,31,Female,11,17,2,16,Basic,Monthly,2364.06,52
82,48,Female,22,23,9,29,Basic,Quarterly,2566.26,1
83,65,Female,18,29,4,24,Basic,Monthly,4981.04,20
84,32,Male,35,15,4,27,Premium,Quarterly,3302.59,28
85,25,Female,6,13,2,3,Premium,Monthly,3547.08,31
86,31,Female,3,8,7,28,Premium,Annual,1636.75,53
87,40,Male,5,27,5,6,Basic,Monthly,2410.53,24
88,57,Female,9,21,2,2,Premium,Monthly,1001.92,45
89,38,Male,28,2,0,23,Standard,Annual,3457.43,7
90,33,Male,19,8,9,19,Standard,Quarterly,1788.02,2
91,62,Male,28,10,0,13,Standard,Annual,3766.61,9
92,35,Male,27,7,9,17,Premium,Monthly,1144.49,19
93,64,Male,13,10,1,17,Basic,Monthly,2077.16,41
94,41,Male,38,25,9,23,Basic,Quarterly,2408.8,49
95,43,Female,43,4,4,29,Basic,Monthly,915.97,25
96,42,Female,53,11,6,23,Basic,Monthly,441.0,23
97,62,Female,21,9,0,0,Basic,Quarterly,1653.63,50
98,58,Male,27,4,0,5,Premium,Quarterly,2769.97,10
99,46,Female,46,3,3,8,Standard,Quarterly,3298.13,23
100,32,Male,6,11,9,24,Premium,Quarterly,2183.83,33
101,62,Female,38,3,5,1,Basic,Monthly,2551.36,43
102,18,Male,49,26,8,7,Premium,Quarterly,2761.65,19
103,42,Female,11,18,0,23,Premium,Quarterly,2608.36,55
104,24,Male,47,26,9,19,Premium,Monthly,542.61,51
105,26,Female,41,19,4,29,Basic,Quarterly,2084.51,34
106,41,Male,53,14,8,3,Basic,Monthly,1101.22,37
107,18,Female,17,24,7,20,Basic,Quarterly,2715.31,3
108,61,Male,56,11,6,26,Premium,Quarterly,3814.57,45
109,25,Female,39,24,9,9,Premium,Annual,2939.48,57
110,41,Female,7,2,1,22,Standard,Monthly,1186.93,7
111,28,Female,30,27,8,0,Standard,Quarterly,1118.01,43
112,68,Male,21,2,7,10,Basic,Annual,281.29,49
113,34,Male,1,2,9,8,Standard,Annual,2189.27,1
114,25,Male,25,10,9,18,Basic,Monthly,2221.02,54
115,52,Male,32,23,8,10,Basic,Annual,1258.54,36
116,52,Male,59,15,8,3,Premium,Monthly,3844.87,1
117,50,Female,57,22,8,22,Standard,Annual,1993.78,41
118,22,Male,8,12,2,4,Basic,Monthly,3380.07,30
119,59,Female,5,11,6,20,Basic,Quarterly,3236.34,50
120,56,Female,30,17,0,16,Standard,Monthly,3063.23,32
121,58,Male,51,18,8,17,Standard,Annual,4549.52,49
122,45,Female,8,14,8,4,Standard,Monthly,177.86,19
123,24,Male,49,17,2,17,Standard,Quarterly,433.38,47
124,26,Male,19,15,4,16,Standard,Quarterly,3638.49,10
125,25,Male,44,12,7,25,Standard,Annual,1832.28,44
126,29,Female,59,27,5,2,Standard,Annual,4933.96,48
127,51,Male,55,16,9,10,Basic,Annual,1160.42,44
128,50,Male,30,23,9,16,Premium,Quarterly,998.75,33
129,65,Male,15,6,8,25,Basic,Quarterly,2982.29,45
130,40,Female,36,2,2,7,Basic,Annual,1469.18,4
131,41,Male,55,2,6,23,Premium,Quarterly,1768.42,20
132,54,Female,44,16,5,7,Premium,Quarterly,4613.02,54
133,52,Female,27,2,4,22,Premium,Annual,228.59,44
134,61,Male,13,8,3,22,Standard,Quarterly,2703.17,51
135,57,Female,14,7,4,1,Standard,Annual,1741.01,15
136,39,Female,37,1,3,24,Standard,Quarterly,1795.36,41
137,44,Male,54,4,2,6,Basic,Monthly,1314.26,54
138,52,Male,48,11,6,20,Premium,Monthly,760.77,30
139,18,Male,30,20,5,19,Premium,Quarterly,268.96,7
140,52,Female,39,7,3,23,Basic,Quarterly,4939.71,38
141,54,Male,47,18,8,20,Standard,Monthly,3335.79,41
142,64,Female,13,4,0,5,Premium,Annual,3908.31,18
143,31,Female,58,17,0,19,Basic,Annual,418.51,59
144,20,Female,16,29,8,17,Standard,Monthly,172.7,30
145,18,Female,44,29,6,27,Basic,Annual,3041.41,8
146,22,Female,7,11,1,6,Standard,Annual,3646.77,21
147,43,Male,48,11,9,27,Basic,Monthly,2034.84,50
148,31,Male,55,20,4,17,Standard,Monthly,2000.0,45
149,56,Female,55,11,3,26,Basic,Quarterly,1983.95,7
150,44,Female,27,15,0,11,Basic,Monthly,848.5,44
151,26,Male,45,14,8,6,Basic,Monthly,3794.18,5
152,32,Male,55,17,5,6,Basic,Annual,1154.44,32
153,32,Female,35,2,5,0,Premium,Annual,1689.61,16
154,43,Female,15,18,3,28,Premium,Quarterly,3389.17,40
155,59,Male,28,16,1,9,Premium,Annual,100.51,26
156,30,Male,35,12,7,9,Premium,Annual,3854.66,27
157,68,Female,7,10,7,11,Basic,Annual,4505.56,54
158,49,Male,50,28,2,2,Premium,Monthly,352.93,39
159,56,Male,46,16,6,2,Premium,Annual,2998.96,59
160,66,Female,50,3,6,12,Basic,Monthly,2101.45,28
161,69,Female,51,8,4,12,Premium,Annual,484.47,33
162,49,Female,46,27,4,26,Premium,Monthly,3442.93,2
163,21,Male,20,22,7,5,Standard,Annual,3100.36,41
164,47,Female,32,22,3,26,Premium,Quarterly,3249.04,15
165,54,Male,38,25,0,2,Standard,Quarterly,4086.13,39
166,40,Female,40,24,0,27,Premium,Quarterly,1505.9,7
167,56,Female,32,2,8,14,Basic,Annual,3417.63,20
168,62,Male,26,22,3,8,Premium,Quarterly,3742.26,13
169,32,Male,58,1,0,20,Basic,Monthly,927.19,32
170,60,Female,39,29,1,5,Premium,Quarterly,4789.63,29
171,46,Female,20,14,9,5,Premium,Quarterly,1765.91,4
172,53,Male,18,25,6,7,Basic,Quarterly,3597.17,19
173,30,Female,50,4,1,25,Basic,Quarterly,3794.7,10
174,49,Male,15,4,0,10,Basic,Monthly,2569.75,36
175,24,Male,52,9,9,18,Basic,Quarterly,730.71,12
176,68,Female,22,3,8,15,Standard,Annual,1450.75,58
177,39,Male,51,5,4,8,Standard,Quarterly,1247.81,22
178,45,Male,22,1,3,22,Basic,Annual,2641.35,27
179,19,Male,53,22,3,10,Standard,Annual,1380.22,35
180,59,Female,21,19,0,15,Premium,Quarterly,2779.18,58
181,62,Male,2,1,2,28,Premium,Quarterly,1512.21,40
182,23,Female,40,10,0,5,Premium,Annual,104.8,17
183,45,Female,53,22,4,26,Standard,Monthly,1879.96,6
184,45,Female,43,12,4,16,Standard,Monthly,3073.57,45
185,61,Male,18,10,8,15,Premium,Quarterly,3891.11,50
186,61,Male,23,2,7,19,Basic,Monthly,238.99,48
187,37,Female,13,16,4,20,Premium,Monthly,1365.73,43
188,47,Female,41,8,4,27,Standard,Quarterly,4928.76,14
189,28,Male,9,14,6,17,Premium,Annual,1382.9,33
190,45,Female,49,29,1,0,Premium,Annual,3908.27,44
191,42,Female,7,15,6,17,Standard,Monthly,2595.93,52
192,56,Male,41,16,0,7,Standard,Annual,698.65,28
193,50,Female,54,11,4,25,Standard,Quarterly,3252.66,38
194,18,Male,1,12,5,21,Standard,Monthly,4835.07,7
195,44,Male,2,2,9,9,Premium,Annual,4445.46,11
196,69,Female,4,4,0,1,Standard,Monthly,3482.43,33
197,30,Male,14,3,8,8,Basic,Annual,2609.53,3
198,58,Male,32,9,8,23,Standard,Monthly,1664.73,22
199,20,Male,36,18,0,3,Standard,Annual,1849.14,13
200,56,Female,2,19,3,10,Premium,Annual,1796.41,29
201,23,Female,40,7,7,9,Basic,Quarterly,4618.2,6
202,25,Female,50,4,1,13,Basic,Quarterly,1135.43,42
203,44,Male,51,6,7,6,Basic,Quarterly,1952.35,54
204,26,Male,14,19,9,18,Standard,Monthly,2216.62,39
205,54,Female,20,1,8,5,Premium,Monthly,2103.61,43
206,50,Female,25,16,8,15,Premium,Monthly,120.57,55
207,68,Male,42,11,0,18,Standard,Annual,1427.77,28
208,59,Female,49,22,8,25,Basic,Annual,2542.99,58
209,61,Female,8,4,3,28,Basic,Annual,3826.42,15
210,41,Female,28,18,7,18,Premium,Monthly,2890.42,24
211,32,Female,46,23,8,12,Standard,Quarterly,1985.82,43
212,49,Female,21,26,2,11,Basic,Monthly,3359.19,50
213,49,Male,23,29,5,26,Standard,Monthly,3362.88,26
214,41,Female,32,28,2,24,Premium,Quarterly,1314.83,1
215,58,Female,8,29,0,21,Standard,Quarterly,608.49,26
216,69,Male,31,5,9,14,Standard,Monthly,4035.6,46
217,66,Male,37,22,5,7,Standard,Annual,2695.93,31
218,66,Male,16,6,4,3,Standard,Annual,964.97,23
219,69,Male,40,25,2,19,Basic,Quarterly,1384.15,32
220,29,Female,42,28,3,7,Premium,Monthly,3855.48,44
221,56,Female,27,2,1,22,Basic,Annual,3301.03,1
222,19,Female,40,12,9,20,Basic,Annual,4731.32,18
223,20,Female,41,22,9,15,Basic,Quarterly,2378.24,17
224,66,Male,18,9,3,15,Basic,Monthly,355.71,46
225,54,Male,35,28,3,1,Premium,Quarterly,3532.07,44
226,66,Female,49,20,2,21,Premium,Monthly,1349.06,28
227,34,Female,52,29,5,16,Basic,Monthly,1686.89,1
228,66,Female,15,12,0,22,Standard,Monthly,1063.58,51
229,19,Female,53,29,8,24,Standard,Monthly,1613.78,36
230,19,Male,27,13,9,4,Standard,Monthly,4164.45,5
231,45,Female,17,27,2,4,Standard,Monthly,2925.9,5
232,40,Male,40,22,2,11,Standard,Annual,634.85,2
233,54,Male,2,23,2,6,Premium,Annual,2974.36,11
234,49,Male,49,17,6,4,Standard,Annual,3204.46,35
235,50,Male,50,5,7,25,Premium,Annual,4435.64,30
236,18,Female,31,20,1,27,Standard,Monthly,4312.26,32
237,36,Female,37,13,0,27,Standard,Annual,408.09,8
238,19,Female,41,29,4,3,Basic,Monthly,4346.82,2
239,61,Female,41,13,7,16,Basic,Quarterly,349.34,36
240,43,Male,34,10,2,5,Basic,Quarterly,855.2,39
241,49,Male,34,15,5,13,Premium,Annual,646.6,25
242,23,Male,51,15,2,8,Premium,Monthly,990.32,19
243,49,Female,55,18,5,3,Basic,Annual,4035.98,51
244,21,Male,59,18,3,25,Basic,Monthly,3461.98,7
245,28,Male,3,2,6,10,Standard,Annual,3466.12,40
246,34,Male,17,23,9,19,Premium,Quarterly,4618.43,14
247,55,Male,14,11,0,20,Standard,Quarterly,2020.07,4
248,41,Female,14,13,0,15,Standard,Annual,116.11,46
249,22,Male,46,11,4,15,Basic,Annual,3234.87,33
250,69,Male,38,4,8,15,Standard,Monthly,4353.56,37
251,51,Female,35,15,4,5,Standard,Quarterly,4883.67,43
252,23,Female,1,22,3,14,Basic,Annual,1883.07,30
253,39,Female,48,23,7,2,Basic,Monthly,4128.55,47
254,28,Male,29,25,4,8,Standard,Quarterly,4261.22,20
255,65,Male,4,11,0,0,Standard,Monthly,807.75,14
256,33,Male,33,18,6,10,Standard,Quarterly,3194.34,27
257,50,Male,17,16,3,21,Premium,Quarterly,948.39,56
258,26,Female,28,10,9,5,Standard,Monthly,2288.49,13
259,23,Male,50,12,4,23,Basic,Monthly,4408.41,7
260,33,Male,26,13,5,4,Standard,Quarterly,3968.39,18
261,46,Female,8,9,6,24,Premium,Quarterly,2894.66,38
262,20,Female,34,27,1,24,Standard,Monthly,4062.67,52
263,37,Female,59,21,0,27,Premium,Annual,848.85,39
264,53,Male,18,13,2,17,Premium,Monthly,1055.1,9
265,36,Male,31,6,9,20,Basic,Annual,1123.44,23
266,43,Male,59,6,0,11,Standard,Monthly,3902.47,31
267,20,Male,27,11,3,6,Premium,Annual,4465.73,2
268,36,Male,16,19,5,1,Standard,Annual,2857.9,40
269,37,Female,58,27,4,6,Premium,Quarterly,4794.06,38
270,49,Female,10,11,3,8,Basic,Monthly,3667.35,41
271,24,Male,40,10,6,23,Basic,Monthly,2862.05,39
272,69,Male,12,23,5,25,Standard,Monthly,3096.79,5
273,58,Male,22,15,2,24,Standard,Annual,4262.72,56
274,50,Male,16,13,8,29,Standard,Annual,541.89,23
275,57,Male,12,23,4,19,Standard,Quarterly,923.29,49
276,56,Female,11,8,9,7,Standard,Annual,1404.85,59
277,35,Female,20,5,0,8,Premium,Monthly,4484.4,32
278,57,Female,51,2,5,9,Standard,Annual,4730.23,53
279,18,Male,1,16,4,11,Premium,Annual,1845.24,39
280,28,Male,27,13,9,1,Premium,Quarterly,4626.9,16
281,45,Female,3,19,7,9,Premium,Annual,2779.55,58
282,42,Female,12,9,3,2,Standard,Monthly,2419.04,55
283,67,Male,30,15,0,0,Basic,Monthly,4180.55,11
284,40,Female,9,6,1,16,Basic,Monthly,2775.81,14
285,48,Female,53,8,7,25,Standard,Monthly,2326.96,3
286,47,Male,54,24,9,21,Standard,Quarterly,178.22,53
287,59,Female,37,14,7,0,Standard,Quarterly,163.2,8
288,52,Female,1,5,4,4,Premium,Monthly,3175.2,15
289,24,Female,42,17,5,29,Basic,Monthly,459.74,57
290,33,Male,49,22,1,13,Basic,Annual,3711.03,9
291,43,Female,4,7,8,5,Basic,Annual,3149.47,16
292,65,Female,15,9,5,8,Basic,Annual,2342.87,26
293,69,Female,51,16,8,21,Premium,Annual,3578.04,53
294,66,Male,27,18,9,13,Standard,Annual,4966.05,32
295,19,Male,8,28,2,3,Premium,Monthly,1307.15,18
296,18,Female,23,13,5,0,Standard,Annual,2829.57,8
297,65,Male,15,18,9,5,Standard,Annual,4229.99,39
298,29,Female,27,10,4,6,Basic,Annual,182.69,52
299,22,Male,31,1,8,20,Basic,Quarterly,1097.19,53
300,54,Male,39,21,9,5,Standard,Quarterly,2652.7,32
301,49,Female,47,18,0,25,Standard,Quarterly,2806.01,10
302,26,Female,8,19,8,23,Basic,Monthly,523.03,12
303,58,Female,30,2,4,0,Basic,Quarterly,2096.4,12
304,52,Male,58,27,0,7,Basic,Annual,2646.95,59
305,36,Female,55,4,9,11,Basic,Annual,2172.58,59
306,65,Male,42,11,7,28,Basic,Annual,3532.92,10
307,33,Male,18,3,6,10,Premium,Monthly,3879.68,34
308,20,Female,4,9,5,1,Premium,Quarterly,2355.28,57
309,37,Male,47,10,1,1,Premium,Quarterly,2185.73,30
310,41,Female,43,28,4,23,Basic,Annual,3556.28,44
311,50,Male,22,2,2,1,Standard,Annual,2820.98,31
312,41,Female,3,7,1,7,Standard,Quarterly,4365.15,38
313,69,Male,15,15,9,20,Basic,Quarterly,2457.62,25
314,28,Male,35,27,0,24,Premium,Annual,2914.2,24
315,66,Female,47,19,8,24,Standard,Quarterly,731.15,33
316,25,Male,38,10,1,29,Basic,Quarterly,4196.39,9
317,53,Female,33,24,0,23,Premium,Monthly,2169.23,25
318,55,Male,14,20,6,29,Premium,Annual,3623.41,20
319,57,Male,48,14,8,24,Premium,Quarterly,2204.47,48
320,37,Male,1,4,5,6,Premium,Monthly,104.96,17
321,52,Female,53,25,7,15,Premium,Monthly,2062.01,52
322,65,Female,49,11,6,23,Premium,Monthly,822.76,6
323,42,Female,26,3,8,21,Premium,Monthly,2053.21,36
324,52,Female,8,23,6,8,Premium,Monthly,1674.59,41
325,42,Female,50,17,5,15,Premium,Monthly,1092.48,20
326,46,Male,16,7,0,1,Premium,Monthly,706.48,26
327,35,Male,38,26,8,2,Basic,Annual,3669.95,40
328,63,Female,10,11,9,1,Standard,Annual,3798.82,50
329,35,Male,42,18,4,21,Basic,Annual,1398.49,12
330,19,Male,37,28,1,18,Standard,Monthly,2526.43,7
331,52,Male,26,14,7,26,Basic,Quarterly,2373.95,40
332,33,Male,28,14,3,16,Standard,Monthly,1840.71,30
333,58,Female,12,6,2,19,Standard,Annual,1460.42,22
334,53,Male,20,29,0,20,Standard,Annual,1011.56,42
335,50,Female,49,9,4,11,Basic,Monthly,4377.17,29
336,21,Female,14,22,2,10,Standard,Annual,4183.23,22
337,50,Male,46,3,3,19,Premium,Quarterly,2144.18,24
338,31,Female,35,17,8,21,Standard,Quarterly,3633.89,3
339,38,Male,29,28,6,18,Basic,Quarterly,2541.83,50
340,65,Male,12,12,4,25,Basic,Monthly,518.38,41
341,37,Male,52,4,7,5,Premium,Annual,4129.71,24
342,25,Female,18,20,5,9,Standard,Annual,1174.43,26
343,24,Female,44,16,9,13,Basic,Quarterly,3563.41,5
344,20,Female,2,29,1,0,Standard,Annual,2684.25,13
345,34,Male,2,24,6,14,Premium,Monthly,3483.65,37
346,50,Male,59,10,0,5,Premium,Quarterly,2408.89,54
347,65,Male,17,26,2,12,Basic,Monthly,3542.55,22
348,29,Female,10,29,0,23,Standard,Monthly,260.78,34
349,68,Male,18,7,0,25,Premium,Annual,300.18,39
350,39,Male,22,10,4,13,Premium,Monthly,4492.07,3
351,39,Female,19,7,5,12,Basic,Quarterly,3773.5,32
352,63,Female,58,23,2,23,Premium,Monthly,4159.49,24
353,47,Female,53,28,2,15,Basic,Annual,2337.27,9
354,55,Male,1,18,2,0,Premium,Monthly,2352.27,3
355,55,Male,24,9,0,13,Premium,Monthly,2716.62,22
356,62,Male,36,22,4,12,Basic,Annual,1293.94,24
357,68,Female,25,18,0,22,Basic,Annual,3694.16,38
358,25,Female,36,17,9,29,Standard,Annual,4164.33,10
359,44,Female,31,11,9,9,Premium,Annual,4545.4,35
360,44,Female,31,1,2,9,Standard,Annual,2633.47,20
361,51,Male,2,17,5,27,Standard,Annual,2131.42,41
362,38,Male,19,4,5,3,Basic,Annual,4171.57,44
363,47,Male,53,4,2,13,Premium,Monthly,3788.06,12
364,50,Male,12,14,8,11,Basic,Monthly,4349.64,48
365,45,Male,10,28,7,21,Premium,Monthly,3313.08,43
366,64,Male,31,9,2,5,Basic,Quarterly,4428.24,12
367,50,Male,45,13,4,14,Premium,Annual,536.3,17
368,22,Male,22,28,4,4,Standard,Monthly,3429.85,4
369,65,Female,23,28,4,9,Premium,Annual,535.1,42
370,36,Female,52,16,2,8,Premium,Quarterly,3769.65,49
371,21,Male,23,1,4,26,Basic,Annual,3179.37,8
372,52,Female,15,3,4,9,Premium,Monthly,178.36,7
373,66,Male,26,19,3,23,Premium,Quarterly,3036.38,55
374,34,Male,3,8,3,11,Premium,Annual,816.77,18
375,61,Female,23,18,1,21,Premium,Quarterly,797.82,26
376,45,Male,20,6,8,3,Standard,Annual,837.27,31
377,47,Male,45,27,6,28,Basic,Quarterly,2470.74,54
378,46,Male,40,20,0,3,Premium,Monthly,666.05,56
379,63,Male,57,29,4,12,Basic,Annual,715.71,56
380,23,Male,39,26,1,24,Standard,Annual,1355.22,53
381,52,Male,56,6,9,13,Standard,Annual,104.21,8
382,58,Male,8,29,5,11,Premium,Monthly,1451.37,34
383,54,Female,18,5,6,12,Basic,Quarterly,3130.2,46
384,41,Female,41,12,1,19,Basic,Monthly,3047.7,16
385,46,Male,6,9,5,12,Basic,Quarterly,4850.71,20
386,66,Female,27,9,2,22,Standard,Annual,686.19,10
387,63,Male,36,17,8,29,Standard,Quarterly,4341.3,50
388,48,Male,15,19,3,21,Premium,Quarterly,2016.83,5
389,52,Male,37,17,2,1,Basic,Annual,1996.48,48
390,50,Male,58,22,2,20,Basic,Annual,1809.17,11
391,69,Female,5,16,1,18,Standard,Quarterly,711.21,51
392,38,Female,39,12,8,8,Premium,Annual,2444.67,38
393,49,Female,9,3,7,9,Premium,Annual,3958.15,39
394,40,Female,7,14,4,16,Premium,Quarterly,4389.62,22
395,50,Male,41,17,8,9,Standard,Monthly,4818.01,11
396,20,Female,20,22,1,19,Basic,Monthly,3947.93,18
397,35,Male,10,16,5,12,Premium,Annual,3153.15,18
398,42,Male,26,21,6,19,Premium,Quarterly,2537.92,31
399,59,Female,4,12,5,24,Basic,Annual,4387.0,20
400,48,Male,38,28,2,29,Premium,Monthly,3723.62,23
401,20,Female,24,24,9,0,Standard,Monthly,890.17,40
402,57,Female,14,2,9,1,Premium,Quarterly,3444.5,53
403,63,Female,41,8,9,16,Basic,Quarterly,2212.09,10
404,41,Female,1,12,8,12,Standard,Monthly,3019.42,17
405,67,Female,17,21,7,16,Premium,Quarterly,4501.93,41
406,49,Male,45,16,7,27,Basic,Monthly,3297.6,45
407,64,Female,24,8,7,29,Basic,Annual,4699.75,8
408,39,Female,27,28,8,12,Basic,Monthly,4345.21,31
409,40,Male,7,16,0,16,Basic,Monthly,731.62,49
410,19,Female,9,10,7,18,Premium,Quarterly,157.09,48
411,44,Female,43,20,1,26,Premium,Quarterly,1983.62,57
412,59,Male,35,15,3,13,Standard,Quarterly,4340.12,48
413,19,Male,58,4,0,19,Standard,Annual,1227.62,53
414,43,Female,12,26,5,9,Basic,Quarterly,3487.86,40
415,34,Male,21,15,9,1,Basic,Annual,2432.38,26
416,57,Female,3,4,0,13,Standard,Quarterly,3755.78,42
417,50,Male,15,11,4,16,Premium,Quarterly,908.39,44
418,26,Female,21,6,8,4,Premium,Monthly,1271.55,50
419,60,Female,10,4,0,21,Premium,Monthly,1288.37,55
420,65,Female,33,9,8,17,Basic,Monthly,2787.48,9
421,56,Male,46,9,3,2,Standard,Annual,1519.16,32
422,46,Female,59,3,2,15,Standard,Quarterly,4077.44,23
423,59,Male,52,23,7,25,Standard,Monthly,1799.29,32
424,43,Female,6,28,5,18,Premium,Quarterly,3338.17,57
425,52,Female,2,5,6,17,Standard,Monthly,4747.66,36
426,67,Female,29,15,8,19,Standard,Quarterly,3073.93,5
427,42,Female,55,28,4,29,Premium,Monthly,1286.55,55
428,41,Female,40,9,1,4,Basic,Monthly,4169.24,48
429,30,Male,33,2,2,7,Basic,Monthly,161.46,1
430,24,Male,4,3,2,5,Premium,Monthly,1357.03,50
431,53,Male,59,26,3,14,Standard,Monthly,1998.7,50
432,62,Female,4,21,9,24,Basic,Quarterly,1060.3,31
433,37,Female,29,12,6,2,Basic,Monthly,3059.69,31
434,18,Male,37,16,9,25,Basic,Quarterly,2834.2,58
435,25,Female,20,5,5,8,Premium,Monthly,2091.83,57
436,63,Female,41,10,2,26,Basic,Quarterly,1542.46,51
437,33,Female,23,28,6,29,Standard,Monthly,2226.15,9
438,31,Male,45,15,3,10,Premium,Monthly,1526.89,33
439,29,Male,18,14,9,19,Premium,Monthly,1184.17,59
440,68,Male,49,14,7,23,Basic,Annual,1821.22,35
441,40,Male,25,23,6,25,Standard,Quarterly,3051.44,26
442,32,Male,1,13,6,22,Premium,Quarterly,3277.12,2
443,45,Female,54,16,8,13,Basic,Monthly,1557.0,34
444,51,Female,15,8,7,22,Standard,Monthly,4742.25,17
445,19,Female,34,8,0,8,Standard,Monthly,1383.6,6
446,49,Female,48,17,6,9,Premium,Annual,3589.45,37
447,40,Male,20,17,2,29,Basic,Monthly,499.25,31
448,39,Male,54,3,3,14,Standard,Monthly,3357.74,28
449,68,Female,37,1,5,17,Premium,Quarterly,2353.75,21
450,42,Male,27,17,4,20,Premium,Annual,2888.63,11
451,39,Female,22,26,7,18,Premium,Quarterly,1001.96,41
